stck_bsop_date,stck_clpr,prdy_vrss,prdy_vrss_sign,prsn_ntby_qty,frgn_ntby_qty,orgn_ntby_qty,prsn_ntby_tr_pbmn,frgn_ntby_tr_pbmn,orgn_ntby_tr_pbmn,prsn_shnu_vol,frgn_shnu_vol,orgn_shnu_vol,prsn_shnu_tr_pbmn,frgn_shnu_tr_pbmn,orgn_shnu_tr_pbmn,prsn_seln_vol,frgn_seln_vol,orgn_seln_vol,prsn_seln_tr_pbmn,frgn_seln_tr_pbmn,orgn_seln_tr_pbmn
20260602,3000,5,2,-2581,2643,-62,-8,8,0,21192,4362,202,62,13,1,23773,1719,264,70,5,1
20260601,2995,-150,5,-8,-58,66,0,0,0,16704,6849,66,50,21,0,16712,6907,0,50,21,0
20260529,3145,-40,5,795,-795,0,3,-3,0,8135,3102,0,26,10,0,7340,3897,0,23,12,0
20260528,3185,115,2,-952,1016,-64,-3,3,0,12562,6286,63,40,20,0,13514,5270,127,42,17,0
20260527,3070,-165,5,-1932,1868,64,-6,6,0,18774,5479,64,58,17,0,20706,3611,0,64,11,0
20260526,3235,-140,5,7939,-7778,-161,26,-26,-1,32173,1796,0,104,6,0,24234,9574,161,78,31,1
20260522,3375,15,2,-2972,2972,0,-10,10,0,4070,4174,0,14,14,0,7042,1202,0,24,4,0
20260521,3360,0,3,5991,-6152,161,20,-21,1,25262,5763,161,85,19,1,19271,11915,0,65,40,0
20260520,3360,20,2,5198,-5182,-16,18,-17,0,12867,3911,0,43,13,0,7669,9093,16,25,30,0
20260519,3340,55,2,-7525,7509,16,-25,25,0,10912,8840,16,36,29,0,18437,1331,0,61,4,0
20260518,3285,-110,5,-85,85,0,0,0,0,9130,3800,3,30,12,0,9215,3715,3,30,12,0
20260515,3395,-130,5,2761,-2575,-186,10,-9,-1,30845,6157,2,105,21,0,28084,8732,188,96,30,1
20260514,3525,-95,5,-7351,7197,154,-26,25,1,21756,8893,248,77,31,1,29107,1696,94,103,6,0
20260513,3620,-75,5,1627,-1177,-450,6,-4,-2,14055,1641,0,52,6,0,12428,2818,450,46,10,2
20260512,3695,-45,5,10985,-11015,30,41,-41,0,26660,5204,146,100,19,1,15675,16219,116,58,61,0
20260511,3740,-140,5,-2485,-7256,-259,-9,-29,-1,16761,8249,145,63,31,1,19246,15505,404,73,60,2
20260508,3880,80,2,-2330,-7670,0,-9,-30,0,5865,4971,0,23,19,0,8195,12641,0,31,49,0
20260507,3800,-75,5,-6763,-3628,391,-26,-15,1,10436,5697,406,40,22,2,17199,9325,15,66,36,0
20260506,3875,-110,5,-13132,3132,0,-50,11,0,26610,20270,0,103,78,0,39742,17138,0,154,67,0
20260504,3985,-75,5,-3275,3275,0,-13,13,0,23415,8190,0,94,33,0,26690,4915,0,107,20,0
20260430,4060,0,3,1386,-1386,0,6,-6,0,6765,569,0,27,2,0,5379,1955,0,22,8,0
20260429,4060,-75,5,439,-439,0,2,-2,0,11268,1850,0,46,8,0,10829,2289,0,44,9,0
20260428,4135,15,2,805,-805,0,3,-3,0,13295,3382,0,55,14,0,12490,4187,0,52,17,0
20260427,4120,120,2,-5333,5574,0,-22,23,0,14432,10917,0,59,45,0,19765,5343,0,81,22,0
20260424,4000,-65,5,-16,16,0,0,0,0,9048,1557,0,37,6,0,9064,1541,0,37,6,0
20260423,4065,-55,5,-2763,2522,0,-11,10,0,12800,5326,0,53,22,0,15563,2804,0,64,12,0
20260422,4120,-50,5,1152,-1062,-90,5,-4,0,9447,2068,0,39,9,0,8295,3130,90,34,13,0
20260421,4170,35,2,-2915,3000,0,-12,13,0,18217,4855,0,76,20,0,21132,1855,0,88,8,0
20260420,4135,40,2,-1803,1803,0,-7,7,0,18970,3856,0,78,16,0,20773,2053,0,86,9,0
20260417,4095,-160,5,-2425,2425,0,-10,10,0,16628,5880,0,69,24,0,19053,3455,0,79,14,0
