stck_bsop_date,stck_clpr,prdy_vrss,prdy_vrss_sign,prsn_ntby_qty,frgn_ntby_qty,orgn_ntby_qty,prsn_ntby_tr_pbmn,frgn_ntby_tr_pbmn,orgn_ntby_tr_pbmn,prsn_shnu_vol,frgn_shnu_vol,orgn_shnu_vol,prsn_shnu_tr_pbmn,frgn_shnu_tr_pbmn,orgn_shnu_tr_pbmn,prsn_seln_vol,frgn_seln_vol,orgn_seln_vol,prsn_seln_tr_pbmn,frgn_seln_tr_pbmn,orgn_seln_tr_pbmn
20260602,919,69,2,-22979,23000,-21,-20,20,0,167876,86583,461,145,75,0,190855,63583,482,165,55,0
20260601,850,-47,5,13945,-13965,20,14,-14,0,319837,128509,463,268,107,0,305892,142474,443,254,121,0
20260529,897,-91,5,46899,-47118,219,43,-43,0,231560,38337,438,212,35,0,184661,85455,219,169,78,0
20260528,988,-8,5,12375,-12375,0,12,-12,0,128095,31269,0,124,30,0,115720,43644,0,112,43,0
20260527,996,-70,5,17958,-17958,0,18,-18,0,180739,50059,390,181,50,0,162781,68017,390,163,68,0
20260526,1066,-27,5,-67917,67917,0,-75,75,0,159760,120928,1007,174,133,1,227677,53011,1007,250,58,1
20260522,1093,-6,5,78553,-76247,0,93,-90,0,494328,150358,1656,564,169,2,415775,226605,1656,471,259,2
20260521,1099,109,2,-112072,112072,0,-115,115,0,306741,172229,1567,326,178,2,418813,60157,1567,441,63,2
20260520,990,27,2,-35451,35151,0,-35,35,0,188161,133992,1109,187,133,1,223612,98841,1109,222,98,1
20260519,963,-32,5,-8593,8593,0,-8,8,0,96537,43117,157,94,42,0,105130,34524,157,103,34,0
20260518,995,-2,5,-18289,18817,-528,-18,19,-1,122314,65600,0,120,65,0,140603,46783,528,138,46,1
20260515,997,-122,5,65041,-64878,37,68,-67,0,417230,74994,784,432,78,1,352189,139872,747,364,145,1
20260514,1119,127,2,-35400,35467,-67,-29,29,0,1345100,456606,4813,1495,500,5,1380500,421139,4880,1524,471,6
20260513,992,32,2,-1295,737,558,-1,0,1,79337,25983,558,79,26,1,80632,25246,0,80,25,0
20260512,960,-32,5,17688,-18196,0,17,-18,0,146522,43341,44,143,43,0,128834,61537,44,126,60,0
20260511,992,-31,5,3119,-2586,-533,3,-3,-1,190049,77734,10,188,77,0,186930,80320,543,185,80,1
20260508,1023,3,2,-2941,2408,533,-3,2,1,74272,32402,1065,76,33,1,77213,29994,532,79,31,1
20260507,1020,-20,5,8539,-8445,-94,9,-9,0,173018,67369,0,176,68,0,164479,75814,94,167,77,0
20260506,1040,-32,5,29167,-29261,94,30,-30,0,156380,50147,94,164,53,0,127213,79408,0,133,83,0
20260504,1072,-38,5,-22294,22648,-1895,-25,26,-2,163271,118953,92,176,130,0,185565,96305,1987,201,104,2
20260430,1110,-19,5,-55002,55002,0,-61,61,0,180743,144899,0,201,161,0,235745,89897,0,262,100,0
20260429,1129,-20,5,8744,-8744,0,10,-10,0,203315,77761,0,227,87,0,194571,86505,0,217,97,0
20260428,1149,-50,5,14375,-14475,0,17,-17,0,179143,62926,0,209,73,0,164768,77401,0,192,90,0
20260427,1199,-5,5,11610,-11733,0,14,-14,0,167889,58874,0,199,70,0,156279,70607,0,185,84,0
20260424,1204,57,2,-46298,46298,0,-54,54,0,102022,88354,0,119,103,0,148320,42056,0,173,49,0
20260423,1147,-76,5,-12687,12903,-216,-15,16,0,214455,131412,0,252,155,0,227142,118509,216,268,139,0
20260422,1223,-7,5,65759,-66959,0,87,-88,0,484903,149011,0,612,185,0,419144,215970,0,526,273,0
20260421,1230,66,2,-3882,2770,0,0,-2,0,641130,228535,0,797,279,0,645012,225765,0,797,281,0
20260420,1164,21,2,-49031,49031,0,-57,57,0,263155,139014,0,306,162,0,312186,89983,0,363,105,0
20260417,1143,-1,5,84649,-84299,0,96,-95,0,228959,31594,0,257,35,0,144310,115893,0,162,130,0
