stck_bsop_date,stck_clpr,prdy_vrss,prdy_vrss_sign,prsn_ntby_qty,frgn_ntby_qty,orgn_ntby_qty,prsn_ntby_tr_pbmn,frgn_ntby_tr_pbmn,orgn_ntby_tr_pbmn,prsn_shnu_vol,frgn_shnu_vol,orgn_shnu_vol,prsn_shnu_tr_pbmn,frgn_shnu_tr_pbmn,orgn_shnu_tr_pbmn,prsn_seln_vol,frgn_seln_vol,orgn_seln_vol,prsn_seln_tr_pbmn,frgn_seln_tr_pbmn,orgn_seln_tr_pbmn
20260602,222500,-8500,5,-10464,23667,-13478,-3188,6090,-2963,175870,162766,113030,40094,37821,26184,186334,139099,126508,43282,31730,29147
20260601,231000,-14500,5,65461,-23120,-42616,15161,-5312,-9914,177665,141682,48290,41606,33348,11366,112204,164802,90906,26446,38660,21281
20260529,245500,7500,2,-96993,9369,84799,-23593,2348,20558,107795,370142,148740,26042,90542,36028,204788,360773,63941,49635,88195,15470
20260528,238000,9000,2,-28402,-15633,44120,-6694,-3709,10422,118801,78698,131205,27856,18520,30802,147203,94331,87085,34550,22229,20379
20260527,229000,-11500,5,36046,23826,-59665,8304,5620,-13872,124037,85917,64543,29080,20201,15222,87991,62091,124208,20776,14581,29094
20260526,240500,-2500,5,32230,-28813,-2103,7841,-7059,-462,110197,36092,63149,26876,8796,15421,77967,64905,65252,19035,15856,15883
20260522,243000,11000,2,-20430,-42727,64537,-5066,-10361,15767,84575,69922,135143,20608,17075,33001,105005,112649,70606,25674,27436,17234
20260521,232000,15500,2,8802,-46443,37764,1986,-10700,8742,83155,52904,100183,19132,12210,23124,74353,99347,62419,17146,22910,14382
20260520,216500,-7500,5,3056,-4598,1657,679,-1059,404,100608,91658,112383,21671,19713,24222,97552,96256,110726,20992,20771,23817
20260519,224000,-8000,5,30470,-52684,21511,7026,-11925,4741,122997,74122,132827,27615,16550,29661,92527,126806,111316,20589,28476,24920
20260518,232000,-3500,5,33646,-52560,15375,7559,-11904,3547,128306,90869,96033,29143,20826,21905,94660,143429,80658,21584,32730,18358
20260515,235500,-15000,5,32110,-34416,2727,7661,-8511,940,208391,135426,110567,50807,32966,27196,176281,169842,107840,43146,41477,26255
20260514,250500,-1000,5,128123,-57021,-72151,31996,-14226,-18036,212473,144088,138512,52971,35961,34519,84350,201109,210663,20975,50187,52555
20260513,251500,-9500,5,78163,-27059,-50188,19643,-6823,-12585,195771,108694,52464,49145,27288,13177,117608,135753,102652,29502,34111,25762
20260512,261000,-19000,5,-33661,76860,-42398,-9311,20390,-10875,263507,242183,129505,70206,64292,34562,297168,165323,171903,79517,43902,45437
20260511,280000,-10000,5,-24086,31366,-9258,-6758,8819,-2626,142071,119830,83334,40052,33761,23504,166157,88464,92592,46810,24942,26130
20260508,290000,-6000,5,45550,-19380,-27088,12897,-5471,-7689,154274,94373,70186,44142,27164,20192,108724,113753,97274,31244,32634,27881
20260507,296000,7500,2,-60598,5656,61594,-18544,2322,18191,275779,204947,198853,78780,59576,57618,336377,199291,137259,97324,57254,39427
20260506,288500,21500,2,-297743,267195,57399,-85853,76977,16563,333381,500232,219070,95550,143577,62913,631124,233037,161671,181403,66600,46350
20260504,267000,15000,2,-134254,91874,43306,-36178,24785,11637,174402,287240,125828,46514,76957,33643,308656,195366,82522,82692,52172,22007
20260430,252000,-9000,5,38722,-87845,47446,9763,-22154,11967,191841,86705,145268,48526,21941,36707,153119,174550,97822,38763,44095,24739
20260429,261000,-2000,5,56088,-43425,-10969,14428,-11158,-2827,193421,85301,65053,50322,22343,17007,137333,128726,76022,35894,33501,19834
20260428,263000,13500,2,-155297,83418,73192,-40685,21849,19179,261624,192678,173636,68378,50447,45408,416921,109260,100444,109063,28598,26229
20260427,249500,-2500,5,73296,-52860,-21320,18245,-13137,-5336,183951,51162,47537,45881,12780,11865,110655,104022,68857,27636,25917,17201
20260424,252000,6000,2,-17847,-7859,27790,-4546,-1906,6968,111445,122018,80584,27754,30462,20126,129292,129877,52794,32300,32369,13157
20260423,246000,-11500,5,127366,-104144,-24887,31807,-25917,-6301,291811,94880,86057,72790,23544,21365,164445,199024,110944,40983,49460,27666
20260422,257500,1000,2,-1558,15879,-14687,-594,4190,-3690,251522,193169,94909,64047,49361,24270,253080,177290,109596,64641,45171,27959
20260421,256500,20000,2,-248646,190753,60334,-62653,47934,15331,271004,303495,166931,67659,76139,41857,519650,112742,106597,130312,28205,26526
20260420,236500,2000,2,14628,-27618,12716,3418,-6530,3045,138505,94606,61628,32925,22517,14670,123877,122224,48912,29507,29048,11625
20260417,234500,11000,2,-202135,147655,55841,-46917,34303,12929,129764,240028,121299,29973,55749,28086,331899,92373,65458,76890,21446,15158
