stck_bsop_date,stck_clpr,prdy_vrss,prdy_vrss_sign,prsn_ntby_qty,frgn_ntby_qty,orgn_ntby_qty,prsn_ntby_tr_pbmn,frgn_ntby_tr_pbmn,orgn_ntby_tr_pbmn,prsn_shnu_vol,frgn_shnu_vol,orgn_shnu_vol,prsn_shnu_tr_pbmn,frgn_shnu_tr_pbmn,orgn_shnu_tr_pbmn,prsn_seln_vol,frgn_seln_vol,orgn_seln_vol,prsn_seln_tr_pbmn,frgn_seln_tr_pbmn,orgn_seln_tr_pbmn
20260602,286,-17,5,-61092,63011,-1919,-18,18,-1,273832,99398,30093,79,29,9,334924,36387,32012,97,11,9
20260601,303,-10,5,33457,-37923,4466,10,-11,1,483239,105870,18716,145,32,6,449782,143793,14250,135,43,4
20260529,313,-15,5,60053,-33532,-1521,19,-10,0,356515,60546,40635,111,19,13,296462,94078,42156,92,29,13
20260528,328,-2,5,85977,-28951,-57026,28,-9,-18,222172,54077,16927,71,17,5,136195,83028,73953,43,27,24
20260527,330,-20,5,19606,-25068,5462,7,-9,2,259874,41635,16507,86,14,5,240268,66703,11045,80,22,4
20260526,350,15,2,-15095,32193,-17098,-5,11,-6,218456,71483,14659,75,25,5,233551,39290,31757,80,13,11
20260522,335,31,2,-214583,195734,18849,-69,63,6,540223,269728,83932,175,87,27,754806,73994,65083,245,25,21
20260521,304,-34,5,244616,-268340,23636,79,-87,8,1218101,91917,133723,386,29,44,973485,360257,110087,308,116,35
20260520,338,-16,5,71331,-60226,-12105,25,-21,-4,331241,63356,46638,113,22,16,259910,123582,58743,88,43,20
20260519,354,-5,5,-47012,43766,3246,-17,16,1,167782,89613,33790,60,32,12,214794,45847,30544,77,16,11
20260518,359,-2,5,-88893,73057,15836,-31,26,6,170863,94505,36301,61,34,13,259756,21448,20465,92,8,7
20260515,361,-18,5,51095,-67303,16208,19,-25,6,359572,48946,24005,135,18,9,308477,116249,7797,116,44,3
20260514,379,16,2,-48768,47510,2758,-18,18,1,241963,76586,13527,90,28,5,290731,29076,10769,108,11,4
20260513,363,3,2,39463,-52888,2171,15,-20,1,301240,56547,52871,111,21,20,261777,109435,50700,97,41,19
20260512,360,-8,5,12059,-8230,-3829,4,-3,-1,490203,68005,18272,177,24,7,478144,76235,22101,172,28,8
20260511,368,-14,5,122391,-119393,-3911,46,-45,-2,662989,37338,7333,247,14,3,540598,156731,11244,201,58,4
20260508,382,-3,5,109574,-114765,5191,42,-44,2,330880,30952,16877,128,12,7,221306,145717,11686,86,56,4
20260507,385,-8,5,90968,-79616,-565,35,-31,0,415824,21337,17016,161,8,7,324856,100953,17581,126,39,7
20260506,393,-15,5,405230,-409827,3757,161,-163,1,841620,17610,22936,334,7,9,436390,427437,19179,173,170,8
20260504,408,-2,5,125238,-120769,-4469,52,-50,-2,321630,19297,5272,132,8,2,196392,140066,9741,81,58,4
20260430,410,-7,5,81006,-81301,295,33,-33,0,323651,21812,10635,133,9,4,242645,103113,10340,100,42,4
20260429,417,-11,5,215558,-213430,-2128,90,-89,-1,447079,32976,16154,187,14,7,231521,246406,18282,97,103,8
20260428,428,-1,5,222706,-222245,-1542,94,-94,-1,841087,49625,22302,357,21,9,618381,271870,23844,263,115,10
20260427,429,-4,5,115040,-117529,2489,49,-50,1,373312,29061,15632,159,12,7,258272,146590,13143,110,63,6
20260424,433,7,2,18705,-10839,424,8,-5,0,388696,102082,27226,168,44,12,369991,112921,26802,160,49,12
20260423,426,-4,5,64156,-35651,-27505,27,-15,-12,507773,53574,10494,218,23,5,443617,89225,37999,190,38,16
20260422,430,-6,5,176264,-150492,-22772,76,-65,-10,478824,11588,4457,206,5,2,302560,162080,27229,130,70,12
20260421,436,-11,5,61709,-52263,-9346,27,-23,-4,308433,24590,20067,135,11,9,246724,76853,29413,108,34,13
20260420,447,-5,5,-3315,6056,-3706,-2,3,-2,239266,109794,34967,107,49,16,242581,103738,38673,109,47,17
20260417,452,-3,5,87210,-49082,-46128,40,-23,-21,335486,79840,26538,153,36,12,248276,128922,72666,113,59,33
