stck_bsop_date,stck_clpr,prdy_vrss,prdy_vrss_sign,prsn_ntby_qty,frgn_ntby_qty,orgn_ntby_qty,prsn_ntby_tr_pbmn,frgn_ntby_tr_pbmn,orgn_ntby_tr_pbmn,prsn_shnu_vol,frgn_shnu_vol,orgn_shnu_vol,prsn_shnu_tr_pbmn,frgn_shnu_tr_pbmn,orgn_shnu_tr_pbmn,prsn_seln_vol,frgn_seln_vol,orgn_seln_vol,prsn_seln_tr_pbmn,frgn_seln_tr_pbmn,orgn_seln_tr_pbmn
20260602,10800,-360,5,-5401,5393,8,-57,57,0,157721,100908,408,1701,1088,4,163122,95515,400,1758,1031,4
20260601,11160,-230,5,114226,-114227,1,1295,-1295,0,339883,124951,379,3857,1425,4,225657,239178,378,2563,2720,4
20260529,11390,-590,5,89741,-89905,2,1041,-1043,0,285170,94018,124,3287,1086,1,195429,183923,122,2246,2129,1
20260528,11980,-530,5,10263,-10577,314,102,-106,4,332996,203161,915,3950,2426,11,322733,213738,601,3848,2532,7
20260527,12510,-1290,5,114846,-117532,2256,1515,-1549,28,539089,222064,2848,6946,2841,36,424243,339596,592,5431,4390,8
20260526,13800,220,2,-13539,15473,401,-195,222,6,319027,160279,405,4461,2246,6,332566,144806,4,4656,2024,0
20260522,13580,580,2,-133209,132408,1799,-1814,1803,24,348294,257214,1803,4757,3499,25,481503,124806,4,6570,1696,0
20260521,13000,1210,2,-73,2394,-1001,34,-4,-13,315681,206184,47,4045,2614,1,315754,203790,1048,4012,2619,13
20260520,11790,-410,5,1538,-1791,3,25,-28,0,181723,104914,247,2141,1235,3,180185,106705,244,2116,1262,3
20260519,12200,-300,5,-11640,11012,198,-147,140,2,179172,129064,533,2168,1571,7,190812,118052,335,2316,1431,4
20260518,12500,-290,5,-20223,21062,1,-253,263,0,217085,174593,793,2636,2124,10,237308,153531,792,2889,1860,10
20260515,12790,-480,5,-1047,12182,-9999,-13,155,-126,588708,337943,623,7869,4519,8,589755,325761,10622,7881,4364,135
20260514,13270,400,2,-76,9958,925,30,93,12,436462,201840,5372,5603,2559,70,436538,191882,4447,5573,2465,58
20260513,12870,-190,5,-20740,15215,79,-258,185,1,288669,161043,1184,3736,2075,15,309409,145828,1105,3994,1891,14
20260512,13060,-560,5,-174886,173297,3,-2303,2286,0,401490,338819,758,5316,4476,10,576376,165522,755,7619,2191,10
20260511,13620,-800,5,22124,-20050,-1,303,-275,0,581424,184122,279,8065,2565,4,559300,204172,280,7761,2840,4
20260508,14420,-130,5,-16958,20241,-1460,-244,291,-21,344686,151159,103,4966,2184,1,361644,130918,1563,5210,1893,23
20260507,14550,-700,5,134644,-135334,-112,1983,-1996,-2,712303,213908,321,10400,3123,5,577659,349242,433,8417,5118,6
20260506,15250,680,2,-121389,119526,978,-1883,1849,16,3193277,1291726,1593,50634,20490,26,3314666,1172200,615,52517,18641,10
20260504,14570,640,2,-104080,105018,262,-1514,1527,4,930152,529986,331,13583,7723,5,1034232,424968,69,15096,6196,1
20260430,13930,80,2,26292,16559,-172,386,208,-2,875703,358144,286,12396,5055,4,849411,341585,458,12010,4847,6
20260429,13850,100,2,-26162,30425,71,-334,392,1,440636,258113,1132,6053,3524,15,466798,227688,1061,6387,3132,15
20260428,13750,-840,5,233696,-217720,403,3247,-3027,6,978172,148259,410,13568,2065,6,744476,365979,7,10321,5093,0
20260427,14590,-330,5,448050,-485932,9906,6462,-7008,143,1431907,198401,9913,20626,2861,143,983857,684333,7,14164,9870,0
20260424,14920,1250,2,-1046011,989849,-1244,-15671,14843,-19,3746882,2223816,2397,56571,33422,35,4792893,1233967,3641,72242,18579,55
20260423,13670,630,2,-88536,88805,1,-1166,1170,0,1309832,518102,6,17431,6875,0,1398368,429297,5,18597,5705,0
20260422,13040,150,2,-37662,37658,4,-479,479,0,279268,139577,6,3575,1782,0,316930,101919,2,4054,1303,0
20260421,12890,320,2,-153159,157445,1,-1978,2034,0,499258,328927,10,6449,4255,0,652417,171482,9,8427,2221,0
20260420,12570,290,2,-4319,-2634,3,-57,-30,0,319980,101910,10,3996,1272,0,324299,104544,7,4053,1301,0
20260417,12280,-40,5,-314,313,1,-1,1,0,179854,60601,4,2203,740,0,180168,60288,3,2204,739,0
