stck_bsop_date,stck_clpr,prdy_vrss,prdy_vrss_sign,prsn_ntby_qty,frgn_ntby_qty,orgn_ntby_qty,prsn_ntby_tr_pbmn,frgn_ntby_tr_pbmn,orgn_ntby_tr_pbmn,prsn_shnu_vol,frgn_shnu_vol,orgn_shnu_vol,prsn_shnu_tr_pbmn,frgn_shnu_tr_pbmn,orgn_shnu_tr_pbmn,prsn_seln_vol,frgn_seln_vol,orgn_seln_vol,prsn_seln_tr_pbmn,frgn_seln_tr_pbmn,orgn_seln_tr_pbmn
20260602,53200,2300,2,10226,-10136,-61,531,-532,2,44443,28012,7914,2285,1415,405,34217,38148,7975,1754,1947,402
20260601,50900,2800,2,-2064,1420,881,-87,55,43,65991,47488,10824,3237,2285,526,68055,46068,9943,3324,2230,483
20260529,48100,-13000,5,-17951,20280,-2375,-887,1001,-117,94903,71709,19432,4657,3527,953,112854,51429,21807,5543,2525,1070
20260528,61100,-5100,5,-7853,9183,-1155,-478,561,-72,30543,23400,6168,1880,1438,379,38396,14217,7323,2358,877,451
20260527,66200,-4900,5,19848,-18455,8,1342,-1247,0,36715,9730,4416,2488,661,299,16867,28185,4408,1146,1907,299
20260526,71100,6400,2,6411,-4674,-1538,443,-326,-103,49709,28695,7520,3492,2015,529,43298,33369,9058,3050,2341,632
20260522,64700,-5000,5,-15205,14068,-1287,-991,929,-92,68187,41920,11379,4464,2760,743,83392,27852,12666,5455,1831,835
20260521,69700,-800,5,2645,-5127,-1040,197,-369,-77,35358,18241,8569,2500,1290,605,32713,23368,9609,2303,1659,681
20260520,70500,-3700,5,-4054,5375,-116,-276,372,-11,24425,22427,7724,1735,1586,546,28479,17052,7840,2011,1215,557
20260519,74200,-5800,5,-18642,36999,-935,-1287,2619,-77,60234,69890,17796,4390,5045,1288,78876,32891,18731,5676,2426,1365
20260518,80000,-16600,5,-21747,20205,1839,-1768,1647,145,46429,44610,13842,3777,3637,1125,68176,24405,12003,5546,1990,980
20260515,96600,-28800,5,-10367,17666,-6966,-974,1674,-671,102492,70588,22019,10352,7035,2200,112859,52922,28985,11326,5361,2871
20260514,125400,-5300,5,-1646,2421,-691,-205,300,-85,26183,21689,5076,3265,2701,633,27829,19268,5767,3470,2401,718
20260513,130700,-7500,5,566,-1084,-720,78,-147,-95,23621,13087,3812,3097,1715,499,23055,14171,4532,3019,1862,593
20260512,138200,1200,2,-684,-4617,2235,-60,-657,303,39111,22816,10482,5332,3089,1427,39795,27433,8247,5392,3746,1125
20260511,137000,14200,2,-8535,997,7408,-1144,119,1008,39072,28056,13187,5273,3762,1787,47607,27059,5779,6417,3643,779
20260508,122800,4300,2,1537,-2646,721,211,-345,87,47137,23645,7168,5924,2961,897,45600,26291,6447,5713,3306,810
20260507,118500,17300,2,-3975,8590,-5107,-386,904,-568,58704,41389,7967,6626,4597,898,62679,32799,13074,7013,3694,1466
20260506,101200,8700,2,6856,34546,4168,669,3556,434,75500,71520,11397,7704,7329,1173,68644,36974,7229,7035,3773,740
20260504,92500,9000,2,-96,-555,-198,-9,-50,-18,30937,21035,3517,2867,1951,327,31033,21590,3715,2876,2002,345
20260430,83500,-5600,5,-1822,-147,9,-158,-10,2,30147,11894,3675,2548,1011,313,31969,12041,3666,2706,1020,311
20260429,89100,-5600,5,18167,-18605,-369,1628,-1668,-33,32335,2949,1271,2900,265,115,14168,21554,1640,1272,1934,148
20260428,94700,3900,2,-11741,11479,372,-1096,1072,34,20960,19591,4432,1957,1825,414,32701,8112,4060,3053,753,380
20260427,90800,-5400,5,7309,-6824,3,665,-619,0,34625,9144,3483,3134,830,315,27316,15968,3480,2469,1449,315
20260424,96200,6000,2,323,-876,-22,10,-62,-3,52694,27492,6815,5081,2670,659,52371,28368,6837,5071,2732,662
20260423,90200,-3400,5,-6715,6514,22,-591,573,1,27449,21063,4473,2455,1876,398,34164,14549,4451,3047,1303,397
20260422,93600,-6300,5,15485,-14387,-241,1453,-1345,-23,67963,20860,6649,6236,1897,606,52478,35247,6890,4783,3241,629
20260421,99900,2500,2,17422,1800,234,1735,189,23,45613,26078,2847,4546,2607,284,28191,24278,2613,2811,2419,261
20260420,97400,3800,2,-8219,8505,-85,-787,819,-12,34767,23063,3306,3336,2217,315,42986,14558,3391,4124,1398,326
20260417,93600,1100,2,3513,-3291,-269,336,-315,-25,40134,18050,3056,3678,1645,277,36621,21341,3325,3342,1960,302
