stck_bsop_date,stck_clpr,prdy_vrss,prdy_vrss_sign,prsn_ntby_qty,frgn_ntby_qty,orgn_ntby_qty,prsn_ntby_tr_pbmn,frgn_ntby_tr_pbmn,orgn_ntby_tr_pbmn,prsn_shnu_vol,frgn_shnu_vol,orgn_shnu_vol,prsn_shnu_tr_pbmn,frgn_shnu_tr_pbmn,orgn_shnu_tr_pbmn,prsn_seln_vol,frgn_seln_vol,orgn_seln_vol,prsn_seln_tr_pbmn,frgn_seln_tr_pbmn,orgn_seln_tr_pbmn
20260602,3765,-145,5,116285,-57347,-64697,435,-214,-243,190954,84032,91744,716,316,343,74669,141379,156441,281,531,586
20260601,3910,-35,5,6277,-5990,2428,21,-24,14,188072,70115,159017,718,270,615,181795,76105,156589,697,294,601
20260529,3945,-90,5,48208,25649,-43897,188,101,-171,137931,110541,46766,540,435,183,89723,84892,90663,352,334,355
20260528,4035,-95,5,51572,-18724,-32688,206,-75,-131,158602,42972,94506,635,172,378,107030,61696,127194,429,247,509
20260527,4130,-65,5,21419,-23162,-3847,88,-96,-14,111529,16148,133482,460,66,552,90110,39310,137329,372,163,566
20260526,4195,70,2,-22993,-61782,84735,-98,-262,360,51042,62550,235157,213,262,987,74035,124332,150422,311,524,627
20260522,4125,0,3,26908,37856,-64904,109,153,-263,98161,135412,156364,402,556,644,71253,97556,221268,292,402,907
20260521,4125,20,2,-80913,-58979,189417,-343,-251,795,49176,100972,381901,202,415,1597,130089,159951,192484,544,666,802
20260520,4105,-80,5,48828,-15095,-36619,199,-61,-149,88172,57387,75988,360,235,311,39344,72482,112607,161,296,460
20260519,4185,55,2,-36588,-1759,39407,-154,-9,168,61774,128721,173709,254,531,722,98362,130480,134302,408,541,554
20260518,4130,-130,5,115903,-38459,-95551,479,-160,-395,170395,87656,42083,706,363,174,54492,126115,137634,226,523,569
20260515,4260,0,3,-49115,81613,-28806,-209,347,-122,37300,148343,62430,158,630,265,86415,66730,91236,367,283,387
20260514,4260,60,2,-1531,112850,-107459,-8,475,-451,70604,159642,44839,295,671,188,72135,46792,152298,303,197,639
20260513,4200,-95,5,22486,32952,-37501,94,142,-160,120704,136104,116441,510,578,492,98218,103152,153942,416,436,652
20260512,4295,-105,5,40465,-15908,-27152,171,-67,-114,152639,97695,161721,650,417,690,112174,113603,188873,480,484,804
20260511,4400,-20,5,-50191,242,54594,-221,2,239,52060,77890,204985,227,342,896,102251,77648,150391,448,340,657
20260508,4420,90,2,-140039,6993,136006,-616,30,599,16914,167463,264741,74,736,1165,156953,160470,128735,690,706,566
20260507,4330,130,2,22494,138574,-184331,92,583,-773,119228,229246,117064,501,968,497,96734,90672,301395,409,384,1271
20260506,4200,-185,5,215316,-3458,-212420,905,-16,-892,368960,140485,212225,1551,592,894,153644,143943,424645,646,608,1786
20260504,4385,-140,5,132508,-25333,-107315,577,-113,-464,240783,66690,191495,1050,292,842,108275,92023,298810,474,405,1306
20260430,4525,145,2,-50311,100646,-82645,-225,443,-361,108954,202907,231772,477,897,1030,159265,102261,314417,702,454,1391
20260429,4380,-200,5,252329,5539,-380542,1115,24,-1680,400598,172745,175053,1770,763,773,148269,167206,555595,655,739,2454
20260428,4580,-15,5,-71497,-32829,70827,-330,-151,327,47612,80689,238902,219,371,1099,119109,113518,168075,548,522,773
20260427,4595,5,2,-91990,-53370,111456,-425,-246,515,28717,57950,341977,132,267,1576,120707,111320,230521,557,513,1061
20260424,4590,-25,5,-6589,-25083,-1919,-31,-116,-8,49999,46267,190907,229,212,876,56588,71350,192826,260,327,884
20260423,4615,15,2,-52930,46152,-30156,-247,213,-136,74433,177161,258035,342,817,1190,127363,131009,288191,589,604,1326
20260422,4600,65,2,-66468,63982,-33203,-304,291,-150,32273,114452,148646,146,521,677,98741,50470,181849,450,230,827
20260421,4535,25,2,-23212,3329,-19036,-105,15,-85,41327,92758,205424,185,418,925,64539,89429,224460,291,403,1010
20260420,4510,15,2,-17805,26787,-43662,-80,120,-194,33738,83070,141931,151,371,635,51543,56283,185593,231,252,829
20260417,4495,5,2,-3232,68898,-74737,-15,309,-335,27440,102850,136592,123,462,614,30672,33952,211329,138,153,949
