stck_bsop_date,stck_clpr,prdy_vrss,prdy_vrss_sign,prsn_ntby_qty,frgn_ntby_qty,orgn_ntby_qty,prsn_ntby_tr_pbmn,frgn_ntby_tr_pbmn,orgn_ntby_tr_pbmn,prsn_shnu_vol,frgn_shnu_vol,orgn_shnu_vol,prsn_shnu_tr_pbmn,frgn_shnu_tr_pbmn,orgn_shnu_tr_pbmn,prsn_seln_vol,frgn_seln_vol,orgn_seln_vol,prsn_seln_tr_pbmn,frgn_seln_tr_pbmn,orgn_seln_tr_pbmn
20260602,47400,2450,2,-11321,-49422,60221,-422,-2418,2815,495427,220548,86695,23418,10360,4063,506748,269970,26474,23840,12778,1248
20260601,44950,950,2,-55463,27020,28532,-2563,1263,1304,375373,218053,55203,17136,9991,2517,430836,191033,26671,19698,8728,1214
20260529,44000,2250,2,-33945,22037,10436,-1462,944,455,272509,142645,28296,11880,6217,1230,306454,120608,17860,13342,5273,775
20260528,41750,800,2,196922,-200931,416,8474,-8658,16,890083,204731,14591,38578,8800,593,693161,405662,14175,30104,17458,577
20260527,40950,-2900,5,62569,-42925,-20200,2595,-1789,-829,184768,62402,14328,7688,2597,596,122199,105327,34528,5093,4386,1424
20260526,43850,1700,2,-19134,18826,8,-878,854,11,146896,105192,15614,6483,4669,696,166030,86366,15606,7360,3815,685
20260522,42150,250,2,15449,-17634,16353,646,-742,691,124370,58622,25009,5241,2472,1056,108921,76256,8656,4595,3214,364
20260521,41900,2750,2,-79475,142795,3112,-3299,5933,115,135697,200472,24660,5628,8320,1016,215172,57677,21548,8928,2387,901
20260520,39150,-1550,5,-69505,75929,-6647,-2703,2952,-257,94145,134778,11385,3669,5249,445,163650,58849,18032,6372,2297,703
20260519,40700,-3250,5,8298,17464,-18835,331,693,-740,183120,96419,39567,7460,3930,1619,174822,78955,58402,7129,3237,2359
20260518,43950,-950,5,29337,-36653,7802,1296,-1624,349,179968,88278,26395,7871,3846,1155,150631,124931,18593,6575,5470,807
20260515,44900,-700,5,-50469,42389,10105,-2580,2236,459,430625,294892,31761,20229,14066,1455,481094,252503,21656,22809,11830,997
20260514,45600,-750,5,17394,-6183,-11471,779,-283,-508,184769,74376,11133,8466,3427,514,167375,80559,22604,7687,3710,1022
20260513,46350,-1200,5,16533,-12806,-2795,764,-604,-117,172483,64720,23764,8037,3025,1112,155950,77526,26559,7273,3628,1229
20260512,47550,-3050,5,113550,-124738,25321,5548,-6112,1294,567800,163574,55664,28044,8107,2742,454250,288312,30343,22496,14219,1448
20260511,50600,600,2,-32694,50419,-9344,-1623,2526,-467,387373,205877,21832,19538,10356,1105,420067,155458,31176,21161,7830,1572
20260508,50000,1500,2,47688,-15516,-23893,2334,-709,-1200,453353,178781,16355,23002,9176,826,405665,194297,40248,20668,9885,2025
20260507,48500,-1250,5,64639,-36272,-26789,3154,-1785,-1292,233670,65201,14893,11486,3214,736,169031,101473,41682,8333,4999,2027
20260506,49750,-1050,5,-4968,25200,-20433,-246,1248,-1012,193938,83743,12512,9618,4153,623,198906,58543,32945,9863,2905,1635
20260504,50800,850,2,-4292,5946,-1064,-212,298,-56,162297,55185,14894,8174,2780,749,166589,49239,15958,8386,2482,805
20260430,49950,-1550,5,91958,-81406,-12997,4738,-4203,-659,348554,78177,8225,17972,4024,422,256596,159583,21222,13234,8227,1081
20260429,51500,-1400,5,73678,-67543,-4716,3818,-3502,-241,209611,56102,2477,10850,2904,129,135933,123645,7193,7032,6406,370
20260428,52900,-1500,5,455913,269025,-43495,24870,11496,-2516,829176,818170,699539,45093,41429,34822,373263,549145,743034,20224,29933,37337
20260427,54400,6100,2,-254066,229138,41098,-13426,12061,2204,646604,462528,84601,34338,24470,4537,900670,233390,43503,47764,12408,2333
20260424,48300,650,2,68664,-21771,-53087,3331,-1082,-2548,263572,94775,6739,12706,4543,325,194908,116546,59826,9375,5625,2873
20260423,47650,-750,5,13440,-114,-24266,630,-7,-1158,151996,52814,5089,7333,2549,244,138556,52928,29355,6703,2556,1402
20260422,48400,-1000,5,16035,6640,-22434,770,322,-1080,116464,48951,2391,5614,2361,116,100429,42311,24825,4844,2039,1196
20260421,49400,850,2,-2976,5767,-1713,-145,282,-84,137758,67446,6196,6827,3341,307,140734,61679,7909,6972,3059,391
20260420,48550,-1250,5,31558,-22522,-11242,1539,-1102,-546,193933,49160,4247,9516,2417,210,162375,71682,15489,7977,3519,756
20260417,49800,3600,2,163244,-169732,5012,8259,-8581,248,631845,145935,15024,31731,7304,750,468601,315667,10012,23472,15886,503
