stck_bsop_date,stck_clpr,prdy_vrss,prdy_vrss_sign,prsn_ntby_qty,frgn_ntby_qty,orgn_ntby_qty,prsn_ntby_tr_pbmn,frgn_ntby_tr_pbmn,orgn_ntby_tr_pbmn,prsn_shnu_vol,frgn_shnu_vol,orgn_shnu_vol,prsn_shnu_tr_pbmn,frgn_shnu_tr_pbmn,orgn_shnu_tr_pbmn,prsn_seln_vol,frgn_seln_vol,orgn_seln_vol,prsn_seln_tr_pbmn,frgn_seln_tr_pbmn,orgn_seln_tr_pbmn
20260602,140200,-16300,5,248379,-219159,-26599,35819,-31684,-3762,767784,208586,40035,110618,30005,5749,519405,427745,66634,74799,61689,9511
20260601,156500,17200,2,93405,540209,-649096,15195,87071,-104879,2444724,1335208,162236,411821,219365,26710,2351319,794999,811332,396626,132294,131589
20260529,139300,2100,2,149368,-92330,-57543,21096,-13088,-8121,492419,156252,31630,68322,21512,4310,343051,248582,89173,47226,34600,12431
20260528,137200,-7300,5,27693,42443,-74814,3588,5786,-10000,345825,207384,30147,46560,28083,4083,318132,164941,104961,42972,22296,14084
20260527,144500,-7900,5,108322,-83462,-33080,16919,-13147,-5015,545659,207684,92591,82310,31023,13800,437337,291146,125671,65391,44170,18815
20260526,152400,10300,2,98202,124175,-230873,15089,19081,-35487,813964,440070,78627,126046,67970,12140,715762,315895,309500,110957,48889,47626
20260522,142100,5500,2,-55285,101887,-45959,-7869,14513,-6551,287321,310240,84330,40916,44169,12007,342606,208353,130289,48784,29656,18558
20260521,136600,13700,2,38967,40097,-80754,5421,5379,-11031,292267,179350,76226,39704,24253,10373,253300,139253,156980,34283,18873,21404
20260520,122900,-4900,5,-10028,71482,-59693,-1260,8742,-7270,161563,162996,56903,19814,20010,7000,171591,91514,116596,21074,11268,14269
20260519,127800,-8700,5,54540,-48950,-9936,7289,-6526,-1335,261811,128702,43957,34588,16955,5744,207271,177652,53893,27299,23480,7080
20260518,136500,3000,2,58807,-50616,-13727,7876,-6895,-1690,361191,221281,65289,47710,29061,8651,302384,271897,79016,39833,35956,10341
20260515,133500,-12700,5,77079,-4706,-67268,10977,-1012,-9276,383523,178063,45811,53837,24665,6381,306444,182769,113079,42861,25676,15657
20260514,146200,2100,2,15685,-119311,100971,2065,-17114,14640,392035,187272,288858,56148,26785,41647,376350,306583,187887,54083,43900,27007
20260513,144100,-900,5,115831,-72865,-55478,16739,-10551,-8004,493518,193990,81355,70537,27489,11456,377687,266855,136833,53798,38040,19461
20260512,145000,-11300,5,12834,-13508,3448,2011,-2130,507,736638,361258,163989,107630,52591,23884,723804,374766,160541,105619,54721,23377
20260511,156300,-3600,5,334349,13895,-341099,54762,-741,-53033,1421709,431743,53734,236271,68545,8465,1087360,417848,394833,181509,69286,61498
20260508,159900,-14200,5,220459,-102770,-104989,34264,-15814,-16426,1105160,342194,53122,174416,54727,8472,884701,444964,158111,140153,70541,24898
20260507,174100,12900,2,277907,303182,-581396,48161,47980,-96250,1609426,998481,118253,277573,167895,20069,1331519,695299,699649,229412,119916,116318
20260506,161200,37200,1,48584,299831,-323752,7600,45416,-48991,1336132,879480,156351,203430,133319,24102,1287548,579649,480103,195830,87902,73093
20260504,124000,6000,2,-150452,121211,30409,-18645,15006,3780,293126,310425,97192,36182,38337,11999,443578,189214,66783,54827,23331,8219
20260430,118000,-5000,5,4896,4330,-9564,634,466,-1139,179133,99697,59102,21388,11878,7058,174237,95367,68666,20754,11412,8197
20260429,123000,-1400,5,-29491,40813,-10959,-3690,5044,-1312,187466,134088,41306,22616,16295,5022,216957,93275,52265,26306,11252,6334
20260428,124400,-300,5,-61803,63835,-3504,-7651,7844,-373,288843,183485,74189,35371,22489,9136,350646,119650,77693,43022,14644,9509
20260427,124700,8600,2,-64493,69089,1744,-8411,8605,592,1275956,498621,180342,157683,61187,22256,1340449,429532,178598,166094,52582,21664
20260424,116100,4500,2,-83939,79079,8706,-9643,9105,975,196032,139683,52744,22522,16075,6051,279971,60604,44038,32165,6970,5076
20260423,111600,-3300,5,41315,-57070,10206,4637,-6393,1133,233242,50808,59763,26075,5661,6663,191927,107878,49557,21438,12053,5530
20260422,114900,4600,2,-26731,38842,-9694,-3063,4475,-1132,349297,169737,57632,40313,19591,6638,376028,130895,67326,43375,15116,7770
20260421,110300,1400,2,6017,1056,-8889,672,102,-982,305363,83198,59238,33075,9022,6431,299346,82142,68127,32403,8919,7412
20260420,108900,-4800,5,90802,-76248,-17850,10028,-8425,-1968,282585,29754,24690,31247,3285,2726,191783,106002,42540,21219,11710,4694
20260417,113700,-8300,5,105616,-98304,-8143,12039,-11203,-930,394297,103011,48302,44902,11724,5489,288681,201315,56445,32863,22928,6420
